File Title: ,C:\Users\slank\Desktop\LOG01.LOG
File Name: ,C:\Users\slank\Desktop\LOG01.LOG
Start Time:,9/28/2017 3:56:30 PM
End Time:,10/15/2017 4:54:53 PM
Interval:,15
Records:,54663
Cyclic Flags:,2
Error Flags:,8208

Date/Time,Velocity (ft/s),Error #
9/28/2017 5:22:45 PM,8.86392191203708E-03,0
9/28/2017 5:22:59 PM,9.92053270164975E-03,0
9/28/2017 5:23:14 PM,1.08905748086022E-02,0
9/28/2017 5:23:29 PM,1.07806691101383E-02,0
9/28/2017 5:23:44 PM,1.12040936875016E-02,0
9/28/2017 5:23:59 PM,1.09629107004935E-02,0
9/28/2017 5:24:14 PM,1.10249704681979E-02,0
9/28/2017 5:24:30 PM,1.13034241948583E-02,0
9/28/2017 5:24:44 PM,0.012044649401845,0
9/28/2017 5:25:00 PM,1.18948993612545E-02,0
9/28/2017 5:25:14 PM,1.19656505417702E-02,0
9/28/2017 5:25:29 PM,1.14318782590575E-02,0
9/28/2017 5:25:44 PM,0.011212717306938,0
9/28/2017 5:25:59 PM,1.12325697300227E-02,0
9/28/2017 5:26:15 PM,1.23813568239277E-02,0
9/28/2017 5:26:29 PM,1.34393588674914E-02,0
9/28/2017 5:26:44 PM,1.31213551078682E-02,0
9/28/2017 5:27:00 PM,1.23767775009522E-02,0
9/28/2017 5:27:14 PM,1.14169751599149E-02,0
9/28/2017 5:27:32 PM,1.14064809866918E-02,0
9/28/2017 5:27:44 PM,1.13173170046926E-02,0
9/28/2017 5:28:00 PM,1.09653887834598E-02,0
9/28/2017 5:28:14 PM,0.01114641129618,0
9/28/2017 5:28:29 PM,1.11686063328417E-02,0
9/28/2017 5:28:44 PM,1.04565563930989E-02,0
9/28/2017 5:28:59 PM,1.03792036865416E-02,0
9/28/2017 5:29:15 PM,1.07598789896527E-02,0
9/28/2017 5:29:29 PM,1.11736048494567E-02,0
9/28/2017 5:29:44 PM,1.10373737520054E-02,0
9/28/2017 5:29:59 PM,1.14391220511498E-02,0
9/28/2017 5:30:14 PM,1.17498122523787E-02,0
9/28/2017 5:30:29 PM,0.012040398705075,0
9/28/2017 5:30:44 PM,1.23830636205677E-02,0
9/28/2017 5:31:00 PM,1.20722475985943E-02,0
9/28/2017 5:31:14 PM,1.17414975057793E-02,0
9/28/2017 5:31:29 PM,1.18598799991359E-02,0
9/28/2017 5:31:44 PM,0.012018811484542,0
9/28/2017 5:31:59 PM,1.18619599094613E-02,0
9/28/2017 5:32:14 PM,0.010838646399236,0
9/28/2017 5:32:29 PM,1.04320869333502E-02,0
9/28/2017 5:32:44 PM,1.01221654590222E-02,0
9/28/2017 5:32:59 PM,9.50738343669914E-03,0
9/28/2017 5:33:15 PM,9.36453693307584E-03,0
9/28/2017 5:33:29 PM,9.5671723207917E-03,0
9/28/2017 5:33:44 PM,9.60031058134923E-03,0
9/28/2017 5:34:00 PM,9.90043788254121E-03,0
9/28/2017 5:34:14 PM,9.74447483408544E-03,0
9/28/2017 5:34:29 PM,1.00185229628876E-02,0
9/28/2017 5:34:44 PM,0.010426724475909,0
9/28/2017 5:34:59 PM,9.91078388325381E-03,0
9/28/2017 5:35:14 PM,9.75589239851943E-03,0
9/28/2017 5:35:29 PM,9.94185587532295E-03,0
9/28/2017 5:35:45 PM,1.02797275217489E-02,0
9/28/2017 5:35:59 PM,1.07666300780774E-02,0
9/28/2017 5:36:15 PM,1.04336749289244E-02,0
9/28/2017 5:36:29 PM,1.05603097468967E-02,0
9/28/2017 5:36:44 PM,1.03322016291464E-02,0
9/28/2017 5:37:00 PM,9.58466967607368E-03,0
9/28/2017 5:37:14 PM,9.31665958601426E-03,0
9/28/2017 5:37:29 PM,9.96695028618242E-03,0
9/28/2017 5:37:44 PM,1.10418826794193E-02,0
9/28/2017 5:37:59 PM,1.18606822519692E-02,0
9/28/2017 5:38:14 PM,1.12262571723456E-02,0
9/28/2017 5:38:29 PM,1.13339280135312E-02,0
9/28/2017 5:38:45 PM,1.13343284429848E-02,0
9/28/2017 5:38:59 PM,1.13753868370554E-02,0
9/28/2017 5:39:14 PM,1.09225896096118E-02,0
9/28/2017 5:39:29 PM,1.11034241875932E-02,0
9/28/2017 5:39:44 PM,1.09737288049092E-02,0
9/28/2017 5:39:59 PM,1.13725800395401E-02,0
9/28/2017 5:40:14 PM,1.05071371775581E-02,0
9/28/2017 5:40:31 PM,0.010101339420909,0
9/28/2017 5:40:45 PM,1.02710990174271E-02,0
9/28/2017 5:40:59 PM,1.06490158646046E-02,0
9/28/2017 5:41:14 PM,9.83275497747625E-03,0
9/28/2017 5:41:30 PM,9.4623850422114E-03,0
9/28/2017 5:41:45 PM,8.85971558023691E-03,0
9/28/2017 5:41:59 PM,8.93693422083047E-03,0
9/28/2017 5:42:15 PM,9.34412872766025E-03,0
9/28/2017 5:42:29 PM,9.22778640534739E-03,0
9/28/2017 5:42:45 PM,9.7982334142788E-03,0
9/28/2017 5:43:00 PM,1.02372380487338E-02,0
9/28/2017 5:43:15 PM,9.94566752232371E-03,0
9/28/2017 5:43:30 PM,1.01817139537386E-02,0
9/28/2017 5:43:44 PM,1.06630931347341E-02,0
9/28/2017 5:43:59 PM,1.14985571964189E-02,0
9/28/2017 5:44:14 PM,1.10073882510238E-02,0
9/28/2017 5:44:29 PM,1.10324928672159E-02,0
9/28/2017 5:44:44 PM,1.16438380358576E-02,0
9/28/2017 5:44:59 PM,0.01166401212489,0
9/28/2017 5:45:15 PM,1.14978289385877E-02,0
9/28/2017 5:45:29 PM,1.04774782237115E-02,0
9/28/2017 5:45:44 PM,0.009790960900869,0
9/28/2017 5:45:59 PM,9.94203299887254E-03,0
9/28/2017 5:46:14 PM,1.00460266551704E-02,0
9/28/2017 5:46:29 PM,1.06355418221425E-02,0
9/28/2017 5:46:44 PM,1.10871513741088E-02,0
9/28/2017 5:47:00 PM,1.06609570544233E-02,0
9/28/2017 5:47:14 PM,1.04436080091188E-02,0
9/28/2017 5:47:29 PM,1.02755203976002E-02,0
9/28/2017 5:47:44 PM,1.00479387218505E-02,0
9/28/2017 5:47:59 PM,1.05018700910231E-02,0
9/28/2017 5:48:14 PM,1.07431689979233E-02,0
9/28/2017 5:48:30 PM,1.11231121736057E-02,0
9/28/2017 5:48:44 PM,1.13345826068728E-02,0
9/28/2017 5:48:59 PM,1.11793326512986E-02,0
9/28/2017 5:49:14 PM,1.10719452888672E-02,0
9/28/2017 5:49:29 PM,1.09394049649335E-02,0
9/28/2017 5:49:44 PM,1.16911036933325E-02,0
9/28/2017 5:50:00 PM,1.21046543441145E-02,0
9/28/2017 5:50:14 PM,1.17267566048708E-02,0
9/28/2017 5:50:29 PM,1.13370314857256E-02,0
9/28/2017 5:50:45 PM,1.07327795997432E-02,0
9/28/2017 5:50:59 PM,0.010329192884367,0
9/28/2017 5:51:14 PM,1.07525660915452E-02,0
9/28/2017 5:51:29 PM,1.15174774605152E-02,0
9/28/2017 5:51:45 PM,1.21178959015855E-02,0
9/28/2017 5:51:59 PM,1.25037630654114E-02,0
9/28/2017 5:52:14 PM,1.27176086458738E-02,0
9/28/2017 5:52:30 PM,1.28658198206539E-02,0
